Volatility 3 Framework 2.28.1

Offset	Name
0x990ef7d048d0	ZonesLockedCacheCounterMutex
0x990ef7d0f0d0	e4728648-1e0c-4c13-bf83-2925db412d19
0x990ef7e04990	SM0:6296:304:WilStaging_02
0x990ef7e04c90	SM0:7664:304:WilStaging_02
0x990ef7e05110	SM0:5220:304:WilStaging_02
0x990ef7e05350	SM0:7916:304:WilStaging_02
0x990ef7e05c50	SM0:7648:304:WilStaging_02
0x990ef7e06610	SM0:7772:304:WilStaging_02
0x990ef7e066d0	SM0:5220:120:WilError_03
0x990ef7e072d0	SearchServiceMUT
0x990ef7e0b710	SM0:6972:304:WilStaging_02
0x990ef7e0c490	SM0:6980:304:WilStaging_02
0x990ef7e0dbd0	WindowsSearchService_EfsRegKeysMutex
0x990ef7e0f790	SM0:6980:120:WilError_03
0x990ef7e0f910	SM0:6972:120:WilError_03
0x990ef81a6090	N/A
0x990ef81ae510	N/A
0x990ef81ae6f0	N/A
0x990ef81b29d0	N/A
0x990ef81b4910	N/A
0x990ef81b4cd0	N/A
0x990ef81b9d70	N/A
0x990ef81ba9f0	N/A
0x990ef81bae50	N/A
0x990ef81bae60	N/A
0x990ef81baea0	N/A
0x990ef81baeb0	N/A
0x990ef81bc390	N/A
0x990ef81bcd90	N/A
0x990ef81bd510	N/A
0x990ef81be230	N/A
0x990ef81be7d0	N/A
0x990ef81bed70	N/A
0x990ef81bf4f0	N/A
0x990ef81bfe50	N/A
0x990ef81c26f0	N/A
0x990ef81c2970	N/A
0x990ef81c4130	N/A
0x990ef81c6c50	N/A
0x990ef81d2af0	N/A
0x990ef81d97b0	N/A
0x990ef81dc190	N/A
0x990ef867bf10	SM0:7940:304:WilStaging_02
0x990ef867d650	SM0:3260:120:WilError_03
0x990ef867df50	SM0:7940:120:WilError_03
0x990ef867e250	SM0:7996:304:WilStaging_02
0x990ef867e550	SM0:5368:120:WilError_03
0x990ef8681610	SM0:3396:120:WilError_03
0x990ef8682150	SM0:3396:304:WilStaging_02
0x990ef86831d0	SM0:4772:120:WilError_03
0x990ef8683590	OneDrive_NetworkLock
0x990ef8683890	SkyDrive Mutex {8EAEBBD8-2370-4716-9C12-1C4BA22A988C} - 14276874868717527231
0x990ef8684c10	SM0:8004:304:WilStaging_02
0x990ef8685150	SM0:3260:304:WilStaging_02
0x990ef8685810	Instance0:  ESENT Performance Data Schema Version 309
0x990ef8687490	SM0:7916:120:WilError_03
0x990ef8984ab0	N/A
0x990ef89895b0	N/A
0x990ef89898d0	N/A
0x990ef8989b50	N/A
0x990ef8989d30	N/A
0x990ef898a0f0	N/A
0x990ef898a230	N/A
0x990ef898a9b0	N/A
0x990ef8990590	N/A
0x990ef8993b50	N/A
0x990ef8994b90	N/A
0x990ef89a0e90	N/A
0x990ef89a9b30	N/A
0x990ef89aebd0	N/A
0x990ef89afdf0	N/A
0x990ef89bec10	N/A
0x990ef89bee90	N/A
0x990ef89bfd90	N/A
0x990ef89bff70	N/A
0x990ef89c12d0	N/A
0x990efa002b90	SM0:5452:304:WilStaging_02
0x990efa006f10	SM0:5432:304:WilStaging_02
0x990efa007210	SM0:5144:120:WilError_03
0x990efa008110	SM0:5452:120:WilError_03
0x990efa008410	SM0:3712:120:WilError_03
0x990efa008ad0	SM0:5684:304:WilStaging_02
0x990efa008dd0	SM0:5432:120:WilError_03
0x990efa009850	SM0:5712:304:WilStaging_02
0x990efa00a150	SM0:5652:304:WilStaging_02
0x990efa00b110	SM0:5156:304:WilStaging_02
0x990efa00b1d0	MSCTF.Asm.MutexDefault1
0x990efa00b650	SM0:2736:304:WilStaging_02
0x990efa00b7d0	SM0:5408:120:WilError_03
0x990efa00bf50	SM0:5156:120:WilError_03
0x990efa00c310	MSCTF.CtfServerMutexDefault1
0x990efa00c490	SM0:5652:120:WilError_03
0x990efa00c6d0	_SHuassist.mtx
0x990efa00c790	SM0:3712:304:WilStaging_02
0x990efa00c850	SM0:5712:120:WilError_03
0x990efa00c9d0	SM0:2736:120:WilError_03
0x990efa00cb50	SM0:5684:120:WilError_03
0x990efa00cd90	SM0:6224:304:WilStaging_02
0x990efa00cf10	CicLoadWinStaWinSta0
0x990efa00d090	MSCTF.CtfMonitorInstMutexDefault1
0x990efa00d150	SM0:1316:304:WilStaging_02
0x990efa00d450	mfx_d3d_mutex
0x990efa00d810	DBWinMutex
0x990efa00da50	SM0:5408:304:WilStaging_02
0x990efa00e350	SM0:2612:120:WilError_03
0x990efa1b0ca0	DBWinMutex
0x990efa1b6760	SM0:6104:120:WilError_03
0x990efa1baa20	SM0:7932:304:WilStaging_02
0x990efa1bf6a0	SM0:4996:304:WilStaging_02
0x990efa1c0420	SM0:1392:304:WilStaging_02
0x990efa1c5820	Instance1:  ESENT Performance Data Schema Version 309
0x990efa1c6720	SM0:3304:120:WilError_03
0x990efa1c7260	SM0:636:304:WilStaging_02
0x990efa1c79e0	SM0:3304:304:WilStaging_02
0x990efa1c7aa0	SM0:4804:304:WilStaging_02
0x990efa1c80a0	SM0:4996:120:WilError_03
0x990efa1c8b20	SM0:636:120:WilError_03
0x990efa1c8d60	SM0:4804:120:WilError_03
0x990efa1c9660	SM0:6104:304:WilStaging_02
0x990efa1c9720	SM0:5368:304:WilStaging_02
0x990efa4db120	SM0:2040:304:WilStaging_02
0x990efa4ded20	SM0:2040:120:WilError_03
0x990efa4df6b0	N/A
0x990efa4e05e0	SM0:7044:304:WilStaging_02
0x990efa4e1960	SM0:7044:120:WilError_03
